Name,Size,Bet,Market,Time,Price,Entry,Avg,"Market
Trades","Market
Volume","Volume
Conc.","Market
PnL","Total
Trades","Unique
Markets","Trade
Conc.","Open
Positions","O.P.
Value",Tot.PnL,Tot.Vol,"Wallet
Age","WC/TX
Delta","WC/TX
%","Active
Market","Active
Hold",Tx Hash,Polymarket,Profile,Market Link
Avinoni,$1.3K,No,Khamenei seen in public by March 1?,5h,0.87,0.87,0.87,1,$1.3K,3.36%,$159,18,6,5.6%,2,$5.7K,$6.5K,$38.7K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-seen-in-public-by-march-1-655-132-582
yohow,$2.5K,Yes,Will the Iranian regime fall before 2027?,5h,0.56,0.54,0.55,8,$20.0K,31.80%,$1.8K,11,2,72.7%,2,$23.2K,$-5.3K,$62.9K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
yohow,$2.5K,Yes,Will the Iranian regime fall before 2027?,5h,0.55,0.54,0.55,8,$20.0K,31.80%,$1.8K,11,2,72.7%,2,$23.2K,$-5.3K,$62.9K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
yohow,$2.5K,Yes,Will the Iranian regime fall before 2027?,5h,0.55,0.54,0.55,8,$20.0K,31.80%,$1.8K,11,2,72.7%,2,$23.2K,$-5.3K,$62.9K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
yohow,$2.5K,Yes,Will the Iranian regime fall before 2027?,5h,0.54,0.54,0.55,8,$20.0K,31.80%,$1.8K,11,2,72.7%,2,$23.2K,$-5.3K,$62.9K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/will-the-iranian-regime-fall-by-the-end-of-2026
yohow,$5.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.54,0.54,0.34,3,$8.5K,13.52%,$-7.7K,11,2,27.3%,2,$23.2K,$-5.3K,$62.9K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x6d9b28Fcbc981...,$1.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.49,0.49,0.45,2,$1.8K,37.36%,$-1.7K,3,2,66.7%,2,$153,$-1.8K,$4.8K,5h,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x0cfC26C143BA6...,$1.0K,No,Khamenei seen in public by March 1?,5h,0.79,0.79,0.79,1,$1.0K,3.84%,$239,20,12,5.0%,5,$5.4K,$5.3K,$27.1K,2d,1d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-seen-in-public-by-march-1-655-132-582
alg88,$3.0K,No,Khamenei out as Supreme Leader of Iran by March 31?,5h,0.31,0.31,0.31,2,$3.2K,0.63%,$-2.8K,14,6,14.3%,0,$0,$-74.9K,$507.6K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-march-31
d34344,$5.0K,No,Khamenei out as Supreme Leader of Iran by February 28?,5h,0.52,0.52,0.52,1,$5.0K,8.40%,$-4.7K,20,9,5.0%,4,$317,$-2.6K,$59.3K,N/A,0d,0.00%,Yes,No,,,,https://polymarket.com/market/khamenei-out-as-supreme-leader-of-iran-by-february-28
0x0646132Ec32d0...,$1.3K,Yes,SpaceX IPO closing market cap above $1.2T?,5h,0.87,0.87,0.87,1,$1.3K,6.25%,-$29,17,9,5.9%,2,$1.3K,$141,$20.4K,126d,126d,0.00%,Yes,No,,,,https://polymarket.com/market/spacex-ipo-closing-market-cap-above-1pt2t-954
